Coding Skills ,Aptitude Skills,Technical Skills ,Communication Skills,Core Knowledge,Presentation Skills,Academic Performance,Puzzle Solving skills,English Proficiency,Programming Skills,Management Skills,Projects,Internships,Training,Backlog, Placed
12,9,15,24,31,16,11,20,16,18,10,14,25,28,5,22
26,8,16,24,30,18,10,21,11,17,12,16,26,24,6,22
36,7,11,21,21,17,9,29,14,12,10,11,21,26,9,18
24,9,10,23,25,16,8,28,12,17,11,10,20,25,3,17
14,19,9,20,24,15,9,27,14,16,16,25,12,21,2,16
12,17,8,10,27,14,8,26,13,18,17,21,17,19,5,17
26,14,7,20,12,13,9,25,11,17,18,24,18,18,4,14
36,16,6,10,16,12,8,24,10,19,19,23,19,17,8,12
41,12,5,20,17,19,9,23,15,14,20,26,21,16,2,18
21,14,4,21,18,15,8,29,18,19,21,21,26,15,5,19
28,15,2,24,14,17,9,28,19,18,22,27,24,14,8,11
35,12,1,22,16,17,8,24,17,18,26,24,21,12,9,14
31,14,5,21,13,16,6,26,18,16,24,26,24,19,2,17
31,19,6,16,10,15,4,25,19,14,25,25,21,18,5,18
32,17,4,15,17,12,6,12,20,14,26,21,25,17,6,14
11,14,8,11,15,14,53,41,21,14,25,12,21,14,3,10
32,32,31,24,25,41,25,26,21,32,25,20,21,42,1,29
25,31,32,26,28,26,29,25,25,31,25,17,25,41,2,47
26,32,24,25,29,24,26,28,24,20,26,16,30,45,2,39
36,34,25,24,30,41,24,27,27,29,21,17,32,42,1,35
39,39,29,29,31,45,27,26,29,28,20,16,35,41,3,36
40,36,26,28,32,43,28,25,26,27,23,15,32,39,0,38
45,35,27,27,34,42,26,24,21,26,24,17,30,37,0,37
47,30,31,24,35,41,23,29,25,24,25,19,32,35,4,36
42,47,25,26,32,40,21,28,20,29,26,17,35,33,2,34
47,42,24,25,36,24,24,24,23,28,28,18,31,32,3,35
48,41,22,25,32,26,29,26,24,24,29,15,25,25,1,30
49,45,20,21,30,25,21,25,21,26,21,14,29,23,0,26
89,52,66,24,31,31,23,21,20,25,25,12,25,25,1,25
85,54,65,54,74,54,41,88,54,54,54,54,74,69,1,89
84,58,62,53,71,53,48,74,84,56,58,59,74,68,0,85
74,59,78,50,79,56,74,82,81,58,59,57,71,65,1,84
85,59,74,52,78,52,75,86,74,53,60,56,45,62,2,86
86,53,70,51,74,51,76,85,66,54,61,55,49,63,0,87
89,54,64,56,72,59,74,84,64,52,62,50,48,64,1,89
52,57,61,54,71,58,79,87,62,56,63,47,45,69,0,88
58,59,68,59,79,57,74,84,60,58,64,49,47,68,0,85
59,58,62,58,80,59,78,86,59,57,65,48,48,64,1,75
66,52,68,54,84,58,50,78,58,59,63,46,47,64,2,64
62,65,62,55,81,56,78,49,54,58,64,45,49,61,0,66
64,64,61,52,80,41,50,74,57,54,65,41,51,52,1,74
